都道府県,自治体・団体名,ドメイン,生存確認,連絡手段,連絡先/フォームURL,情報元ページ,備考
新潟県,新潟県動物愛護センター,www.pref.niigata.lg.jp,生存,フォーム,https://www.pref.niigata.lg.jp/form/detail.php?sec_sec1=38&inq=05&lif_id=843222,https://www.pref.niigata.lg.jp/sec/seikatueisei/1333314133188.html,対象ページ内に「メールでのお問い合わせはこちら」というリンクがあり、上記フォームURLに遷移する。ページにメールアドレスの直接記載はない。電話番号は0258-21-5501（動物愛護センター直通）。フォームページ自体はCookie無効環境だと開けない旨のメッセージが出るが、これはWebFetchツール側の制約(Cookie非対応)によるものであり、フォームが実在しないことを意味しない。フォーム利用
栃木県,宇都宮市,www.city.utsunomiya.lg.jp,生存,フォーム,https://www.city.utsunomiya.lg.jp/cgi-bin/contacts/F050110000,https://www.city.utsunomiya.lg.jp/kurashi/pet/pet/1005584.html,担当部署は「宇都宮市保健所 生活衛生課」。電話028-626-1108、FAX028-627-9244、住所〒321-0974宇都宮市竹林町972。メールアドレスは見つからなかった。フォームURLへの直接アクセス(WebFetch)はHTTP 400を返したが、これはCGIフォームがGET直叩きや外部リファラを許可していないための可能性が高く、ページ内のリンクとしては正規に存在する。
沖縄県,沖縄県動物愛護管理センター,www.aniwel-pref.okinawa,生存,フォーム,https://www.aniwel-pref.okinawa/contact,https://www.aniwel-pref.okinawa/contact,"トップページ・収容犬ページにメールアドレスの明記はなし。/contact に問い合わせフォーム（氏名・電話番号・メールアドレス・お問い合わせ内容等の入力欄）が設置されているが、送信先メールアドレスはページ上に明記されていない。電話連絡先: 沖縄県動物愛護管理センター Tel 098-945-3043（平日8:30-12:00, 13:00-17:15）, Fax 098-945-0224。住所: "
滋賀県,大津市動物愛護センター,www.city.otsu.lg.jp,生存,フォーム,https://www.city.otsu.lg.jp/cgi-bin/inquiry.php/50,https://www.city.otsu.lg.jp/soshiki/021/1442/g/pet/mayoi/1387775941679.html,ページ内に「動物愛護センターにメールを送る」というリンクが2箇所あるが、実体はmailto:ではなくCGI問い合わせフォーム(inquiry.php/50、部署IDで動物愛護センター宛に自動ルーティング)。メールアドレスの直接記載は見つからず。電話077-574-4601、FAX077-574-4550の記載あり(担当部署: 健康福祉部保健所 動物愛護センター、〒520-0246 大津市仰木の里一
神奈川県,神奈川県動物愛護センター,www.pref.kanagawa.jp,生存,フォーム,https://dshinsei.e-kanagawa.lg.jp/140007-u/offer/offerList_detail.action?tempString=SF1594,https://www.pref.kanagawa.jp/osirase/1594/awc/faq/inquiry.html,対象ページ内にメールアドレスの記載はなし。フッターの「お問い合わせ」リンクから神奈川県動物愛護センターのお問い合わせページ(/osirase/1594/awc/faq/inquiry.html)に到達し、そこに電話番号(0463-58-3411、平日8:30-17:15)とWeb申請フォーム(e-kanagawa電子申請システム、フォームID SF1594)へのリンクが記載されていた。メールアドレ
福岡県,北九州市,www.city.kitakyushu.lg.jp,生存,フォーム,https://www.city.kitakyushu.lg.jp/contents/924_11831.html（ページ内「メールを送信（メールフォーム）」リンクからJavaScriptでページ内フォーム送信。個別のフォームURLは発行されていない）,https://www.city.kitakyushu.lg.jp/contents/924_11831.html,明記されたメールアドレスは見つからなかった。ページには「メールによるお問合せは、更新作業等に影響する事がございますので、できるだけご遠慮ください」との記載があり、電話（動物愛護センター 093-581-1800）が主たる問い合わせ手段として案内されている。ページ内にはメールフォーム送信用リンクがあるが、これはjavascript:関数呼び出しでinquireというフォーム要素をsubmitするもの
秋田県,ワンニャピアあきた,wannyapia.akita.jp,生存,フォーム,https://wannyapia.akita.jp/pages/contact,https://wannyapia.akita.jp/pages/contact,トップページ/対象ページから「お問い合わせ」リンク(/pages/contact)を確認。同ページに氏名・電話番号・メールアドレス・居住地域・本文を入力する問い合わせフォームが設置されているが、メールアドレスの明記はなし。電話(018-827-5051)・FAX(018-886-5581)も併記されている。フォームのPOST先URLまでは取得できなかったため、フォーム設置ページのURLをconta
群馬県,群馬県動物愛護センター,www.pref.gunma.jp,生存,フォーム,https://www.pref.gunma.jp/form/detail.php?sec_sec1=86&lif_id=768249,https://www.pref.gunma.jp/page/167499.html,ページ内にメールアドレスの記載はなし。ページ下部の「お問い合わせフォーム」リンク先(群馬県動物愛護センター本所宛、sec_sec1=86)を確認したが、WebFetch経由ではCookie未対応のためエラー表示のみでフォーム本体は取得できなかった（実ブラウザでは動作する可能性が高い）。電話番号は0270-75-1718（動物愛護センター本所）。
群馬県,前橋市,www.city.maebashi.gunma.jp,生存,フォーム,https://www.city.maebashi.gunma.jp/cgi-bin/inquiry.php/42?page_no=9484,https://www.city.maebashi.gunma.jp/soshiki/kenko/eiseikensa/gyomu/1/1/1/9484.html,ページ内にメールアドレスの明記はなし。「お問い合わせはこちらから」というリンクから問い合わせフォーム(cgi-bin/inquiry.php)に遷移する形式。電話番号は027-220-5777(健康部生活衛生課動物愛護管理係)、FAX 027-223-8835も記載あり。
茨城県,水戸市,www.city.mito.lg.jp,生存,フォーム,https://www.city.mito.lg.jp/page/19971.html,https://www.city.mito.lg.jp/page/19971.html,水戸市動物愛護センター(愛称:あにまるっとみと)の直接のメールアドレスはサイト内に見つからなかった。センター専用の問い合わせ手段は電話029-350-3800/FAX029-350-3802のみ。メールでの問い合わせ手段としては、市が全庁共通で提供する「ご意見・ご要望」フォーム(page/19971.html)があり、これは市民相談室を経由して担当部署(動物愛護センター含む)に振り分けられる仕組み
長崎県,長崎犬猫ネット,animal-net.pref.nagasaki.jp,不通,フォーム,https://apply.e-tumo.jp/pref-nagasaki-u/offer/offerList_detail?tempSeq=1464,https://www.pref.nagasaki.jp/organization/kenminseikatsukankyobu/eisei/,動物愛護・狂犬病予防担当は長崎県 県民生活環境部 生活衛生課(電話095-895-2363/2364、FAX095-824-4780、〒850-8570 長崎市尾上町3-1)。同課ページに「このページへの質問はこちらから」というJS発火(qreapform)のe-tumo問い合わせフォームリンクがあり、長崎県共通フォームシステム(apply.e-tumo.jp)にtempSeq=1464(生活衛生
長崎県,佐世保市,www.city.sasebo.lg.jp,生存,フォーム,https://faq.city.sasebo.lg.jp/faqfa2/public/web/form101.html,https://www.city.sasebo.lg.jp/soumu/kouhou/otoiawase.html,対象ページ (hogodoubutsu.html) 自体および生活衛生課の個別ページにはメールアドレスの記載なし。市公式の「ご意見・お問い合わせ」ページ(https://www.city.sasebo.lg.jp/soumu/kouhou/otoiawase.html)に、担当部署不明時用の総合問い合わせフォーム(https://faq.city.sasebo.lg.jp/faqfa2/publi
長野県,長野県動物愛護センター,www.pref.nagano.lg.jp,生存,フォーム,https://www.pref.nagano.lg.jp/otoiawase/index.html,https://www.pref.nagano.lg.jp/dobutsuaigo/joto/inu-neko/inu.html,対象ページのヘッダー/フッターに「お問い合わせ」リンクがあり、リンク先は長野県庁の汎用問い合わせページ(/otoiawase/index.html)。これは動物愛護センター専用フォームではなく県庁代表の問い合わせ案内(電話026-232-0111含む)で、部署別フォームへの誘導のみでメールアドレスは記載なし。動物愛護センター自体の直接連絡先は電話0267-24-5071/FAX0267-26-32
高知県,高知県動物愛護センター,kochi-apc.com,生存,フォーム,https://kochi-apc.com/contact/,https://kochi-apc.com/contact/,contact/ページ本文にメールアドレスの明記は確認できず(「メールフォームはこちら」というリンクのみ)。フォーム項目はお名前・フリガナ・電話番号・メールアドレス(確認含む)・問い合わせ内容。電話連絡先も併記あり: 中央センター 088-831-7939(〒780-8021 高知市孕東町56-2)、中村センター 0880-34-6252(〒787-0010 四万十市古津賀3069-4)。なお1回
京都府,京都市ペットラブ,kyoto-ani-love.com,生存,見つからず,,https://kyoto-ani-love.com/,運営は京都市・京都府共同設置の京都動物愛護センター。トップページに記載の連絡先は電話(075-671-0336)とFAX(075-671-0338)のみで、メールアドレスや問い合わせWebフォームへのリンクは見当たらなかった。/contact/ 等の推測URLも404で存在しない。メール・フォームでの問い合わせ手段は未確認のため none_found とした。
兵庫県,兵庫県動物愛護センター,hyogo-douai.sakura.ne.jp,生存,見つからず,,https://hyogo-douai.sakura.ne.jp/,兵庫県動物愛護センターの公式サイトにはメールアドレス・問い合わせフォームが存在しない。連絡手段は電話(本センター06-6432-4599等、上記参照)とFacebookのみ。メールで問い合わせたい場合は兵庫県庁公式サイト(https://web.pref.hyogo.lg.jp/)経由で探す必要がある可能性があるが未調査。
兵庫県,尼崎市動物愛護センター,www.city.amagasaki.hyogo.jp,生存,見つからず,,https://www.city.amagasaki.hyogo.jp/kurashi/iryou/pet/051syuuyoudoubutu.html,確認できた連絡先は電話・ファクスのみ: 尼崎市動物愛護センター TEL 06-6434-2233 / FAX 06-6434-2293（住所: 〒661-0047 兵庫県尼崎市西昆陽4丁目1番1号）。メールアドレスやWebフォームは対象ページ・市トップページのいずれにも見つからなかった。推測でのメールアドレス記載は行っていない。
大阪府,大阪府動物愛護管理センター,www.pref.osaka.lg.jp,生存,見つからず,,https://www.pref.osaka.lg.jp/o120200/doaicenter/doaicenter/madoguchi.html,メールアドレス・Webフォームは見つからず。連絡手段は電話のみ確認: 箕面支所 072-727-5223(平日9:30-17:00)。ページ下部に「各種お問合わせ」リンク(/o070050/koho/information/index.html)があるが、そこも一般的な電話案内のみでメール/フォームの明記なし。推測でメールアドレスを記載することは避けた。
大阪府,高槻市,www.city.takatsuki.osaka.jp,生存,見つからず,,https://www.city.takatsuki.osaka.jp/soshiki/39/2752.html,対象ページに記載の担当部署は「高槻市 保健衛生課」、電話072-661-9331、FAX 072-661-1800（メールアドレス記載なし）。ページ内・トップページ双方を確認したが、mailto:リンクや専用の問い合わせWebフォームへのリンクは見つからなかった。一般的な自治体CMSの汎用フォームURL推測は行っていない（事実未確認のため）。電話・FAXでの連絡のみ確認できた。
山口県,山口県動物愛護センター,www.pref.yamaguchi.lg.jp,生存,見つからず,,https://www.pref.yamaguchi.lg.jp/site/doubutuaigo/10012.html,問い合わせページ(10012.html)を確認したが、mailto:リンクもWebフォームへのリンクも存在しない。掲載されているのは電話(083-973-8315)とFAX(083-973-8341)、所在地(〒754-0891 山口市陶10943-12)のみで「お電話にてお問い合わせください」と明記されている。関連の組織ページ(soshiki/21/26911.html)も確認したが同様にメール
山形県,山形県,www.pref.yamagata.jp,生存,見つからず,,https://www.pref.yamagata.jp/020071/kenfuku/doubutsuaigo/aigo/kainushisagashi/keijiban.html,担当部署は「防災くらし安心部 食品安全衛生課」（電話: 023-630-2621、FAX: 023-624-8058、住所: 〒990-8570 山形市松波二丁目8番1号）と明記されているが、メールアドレスの記載はなし。ページ内・関連ページ（動物愛護トップ、山形県トップ、ご相談窓口ページ）にもメールフォームへの直接リンクは見当たらなかった。山形県トップのフッターに「ご相談窓口」への一般リンクはある
山梨県,山梨県,www.pref.yamanashi.jp,生存,見つからず,,https://www.pref.yamanashi.jp/doubutsu/index.html,山梨県動物愛護指導センターのサイト内（トップページ含む）にメールアドレスや専用の問い合わせフォームは見当たらなかった。掲載されている連絡先は電話(055-273-5034)とFAX(055-273-5614)のみ。住所は〒409-3812 中央市乙黒1083。県の一般問い合わせページ(https://www.pref.yamanashi.jp/toiawase/index.html)を確認したが、
徳島県,徳島県動物愛護管理センター,douai-tokushima.com,生存,見つからず,,https://douai-tokushima.com/,サイト内にメールアドレスやWeb問い合わせフォームの記載は見つからなかった。連絡手段は電話(088-636-6122)とFAX(088-636-6123)のみ。住所は〒771-3201 徳島県名西郡神山町阿野字長谷333。参考: Instagram @tokushimaaigokanri あり。
東京都,町田市,www.city.machida.tokyo.jp,生存,見つからず,,https://www.city.machida.tokyo.jp/iryo/hokenjo/goannai/index.html,担当課の電話番号は042-722-6727(生活衛生課 動物愛護担当)。メール・Webフォームは明記された情報源では確認できず、推測でのアドレス記載は行っていない。必要であれば「町田市 メールで意見・要望」の各課別フォーム一覧ページ(URL不明、トップの「市へのご意見」から辿る導線)をさらに深掘り調査可能。
熊本県,熊本県動愛,www.kumamoto-doubutuaigo.jp,生存,見つからず,,https://www.kumamoto-doubutuaigo.jp/topics/rennrakusaki.html,トップページ・「各種連絡先」ページ(/topics/rennrakusaki.html)を確認したが、メールアドレスの記載は見当たらなかった。連絡先は熊本県動物愛護センター「アニマルフレンズ熊本」の電話番号(0964-27-8115)のみ。なお/post_animals/pre_entry/という「犬猫情報登録フォーム」へのリンクはあるが、これは一般問い合わせ用ではなく迷子犬猫等の情報提供専用フォ
神奈川県,横須賀市,www.yokosuka-doubutu.com,生存,見つからず,,https://www.yokosuka-doubutu.com/,トップページ・保護犬ページともにメールアドレスや問い合わせフォームは見つからなかった。連絡先として案内されているのは電話番号のみ(TEL 046-869-0040、平日8:30-17:00)。住所は〒237-0062 神奈川県横須賀市浦郷町5-2931(横須賀市動物愛護センター)。
福岡県,福岡県動物愛護協会,www.zaidan-fukuoka-douai.or.jp,生存,見つからず,,https://www.zaidan-fukuoka-douai.or.jp/,トップページに「ご連絡は平日の9時から17時の間にお電話でお願いします。（電子メール不可）」と明記されており、メールでの問い合わせは明示的に不可。連絡手段は電話(092-944-1281)とFAX(092-944-1282)のみで、問い合わせフォームやメールアドレスの記載は見当たらなかった。
福岡県,福岡市わんにゃん,www.wannyan.city.fukuoka.lg.jp,生存,見つからず,,https://www.wannyan.city.fukuoka.lg.jp/yokanet/access,わんにゃんよかネット内(トップ、access、link各ページ)および福岡市公式サイト(city.fukuoka.lg.jp トップ、lifeinformation/eisei-doubutsuaigo)を確認したが、メールアドレスも専用問い合わせフォームも見つからなかった。連絡先として明記されているのは電話・FAXのみ:東部動物愛護管理センター(あにまるぽーと) TEL 092-691-0131
福島県,福島県,www.pref.fukushima.lg.jp,生存,見つからず,,https://www.pref.fukushima.lg.jp/sec/21620a/maigo-dog-miharu.html,動物愛護センター本所の連絡先は電話024-953-6400・Fax024-953-6408・住所〒963-7732 田村郡三春町大字上舞木字向田17番のみ。メールでの問い合わせ手段およびWeb問い合わせフォームはページ内に確認できなかった。
茨城県,茨城県,www.pref.ibaraki.jp,生存,見つからず,,https://www.pref.ibaraki.jp/hokenfukushi/doshise/hogo/syuuyou.html,メールアドレスやWebフォームは見つからなかったが、電話連絡先は明記されている: 保健医療部動物指導センター保護指導課 TEL 0296-72-1200 / FAX 0296-72-2271(住所: 〒309-1606 茨城県笠間市日沢47)。県サイト共通の「お問い合わせ」ページも確認したが、そこにもメール/フォームはなく代表電話(029-301-1111)への案内のみだった。
長崎県,長崎市動物愛護管理センター,www.city.nagasaki.lg.jp,生存,見つからず,,https://www.city.nagasaki.lg.jp/site/doubutsuaigo/list7-19.html,代表電話番号 095-822-8888（長崎市役所代表）は確認できたが、メールアドレスや専用問い合わせフォームは見つからなかった。動物愛護管理センターは2024年4月1日に長崎市茂里町2番34号2階へ移転済み。推測でのメールアドレス記載は行っていない。
青森県,青森県動物愛護センター,www.aomori-animal.jp,生存,見つからず,,https://www.aomori-animal.jp/,トップページ(https://www.aomori-animal.jp/)を確認したところ、連絡先として電話番号(017-726-6100)とFAX番号(017-726-6101)、住所(青森市大字宮田字玉水119-1)、開所時間(10:00-16:00、月曜休)は明記されていたが、メールアドレスやWeb問い合わせフォームへのリンクは見つからなかった。「お問い合わせ」ページの推測URL(00_IN
鹿児島県,鹿児島市,www.city.kagoshima.lg.jp,生存,見つからず,,https://www.city.kagoshima.lg.jp/kenkofukushi/hokenjo/seiei-jueki/kurashi/dobutsu/kainushi/joho/inu.html,メール・Webフォームは見つからなかったが、電話(099-803-6905)・FAX(099-803-7026)での問い合わせは可能。また市全体の代表案内窓口として「サンサンコールかごしま」(099-808-3333)がある。担当課の内部組織ページ(soshiki配下)は404で存在確認できず、URL構造の推測では特定できなかった。
